model,toolset_size,retrieval,invocation,n,disponibilidade_gabarito
deepseek-v4-flash,10,full,native,240,1.0
deepseek-v4-flash,30,full,native,240,1.0
deepseek-v4-flash,50,embedding,native,240,1.0
deepseek-v4-flash,50,full,code_action,240,1.0
deepseek-v4-flash,50,full,json_prompt,240,1.0
deepseek-v4-flash,50,full,native,240,1.0
deepseek-v4-flash,50,hybrid,native,240,0.9583333333333334
deepseek-v4-flash,50,random,native,240,0.10416666666666667
deepseek-v4-flash,50,two_stage,native,240,0.9291666666666667
gemma-4-e4b,10,full,native,240,1.0
gemma-4-e4b,30,full,native,240,1.0
gemma-4-e4b,50,embedding,native,240,1.0
gemma-4-e4b,50,full,code_action,240,1.0
gemma-4-e4b,50,full,json_prompt,240,1.0
gemma-4-e4b,50,full,native,240,1.0
gemma-4-e4b,50,hybrid,native,240,0.9583333333333334
gemma-4-e4b,50,random,native,240,0.10416666666666667
gemma-4-e4b,50,two_stage,native,240,0.75
