model,toolset_size,retrieval,invocation,acuracia_original,acuracia_sem_falha_parsing,erro_parsing
deepseek-v4-flash,10,full,native,0.859375,0.859375,0.0
deepseek-v4-flash,30,full,native,0.78125,0.78125,0.0
deepseek-v4-flash,50,embedding,native,0.86875,0.86875,0.0
deepseek-v4-flash,50,full,code_action,0.984375,0.984375,0.0
deepseek-v4-flash,50,full,json_prompt,0.95,0.95,0.0
deepseek-v4-flash,50,full,native,0.775,0.775,0.0
deepseek-v4-flash,50,hybrid,native,0.88125,0.88125,0.0
deepseek-v4-flash,50,random,native,0.303125,0.303125,0.0
deepseek-v4-flash,50,two_stage,native,0.778125,0.778125,0.0
gemma-4-e4b,10,full,native,0.703125,0.703125,0.0
gemma-4-e4b,30,full,native,0.703125,0.703125,0.0
gemma-4-e4b,50,embedding,native,0.765625,0.765625,0.0
gemma-4-e4b,50,full,code_action,0.821875,0.715625,0.1875
gemma-4-e4b,50,full,json_prompt,0.721875,0.640625,0.178125
gemma-4-e4b,50,full,native,0.715625,0.715625,0.0
gemma-4-e4b,50,hybrid,native,0.78125,0.78125,0.0
gemma-4-e4b,50,random,native,0.28125,0.28125,0.0
gemma-4-e4b,50,two_stage,native,0.578125,0.578125,0.0
