run_id,model,toolset_size,retrieval,invocation,repetition,query_id,query_type,axis,expected,lure,predicted,n_exposed,retrieval_hit,correct,hallucinated,invented_tool,lure_hit,parse_error,prompt_tokens,completion_tokens,total_tokens,latency_s,stage1_prompt_tokens,stage1_completion_tokens,stage1_latency_s,error,timestamp
deepseek-v4-flash|10|full|native|d01|r1,deepseek-v4-flash,10,full,native,1,d01,direct,exposicao,send_message,,search_users,10,1,0,0,0,0,0,935,61,996,0.8045,0,0,0.0,,2026-08-30T13:22:45
deepseek-v4-flash|10|full|native|d01|r2,deepseek-v4-flash,10,full,native,2,d01,direct,exposicao,send_message,,search_users,10,1,0,0,0,0,0,935,60,995,0.7006,0,0,0.0,,2026-08-30T13:22:46
deepseek-v4-flash|10|full|native|d01|r3,deepseek-v4-flash,10,full,native,3,d01,direct,exposicao,send_message,,search_users,10,1,0,0,0,0,0,935,60,995,0.7009,0,0,0.0,,2026-08-30T13:22:47
deepseek-v4-flash|10|full|native|d01|r4,deepseek-v4-flash,10,full,native,4,d01,direct,exposicao,send_message,,search_users,10,1,0,0,0,0,0,935,61,996,0.7166,0,0,0.0,,2026-08-30T13:22:47
deepseek-v4-flash|10|full|native|d01|r5,deepseek-v4-flash,10,full,native,5,d01,direct,exposicao,send_message,,search_users,10,1,0,0,0,0,0,935,60,995,0.7055,0,0,0.0,,2026-08-30T13:22:48
deepseek-v4-flash|10|full|native|d02|r1,deepseek-v4-flash,10,full,native,1,d02,direct,exposicao,list_messages,,list_messages,10,1,1,0,0,0,0,914,65,979,0.7561,0,0,0.0,,2026-08-30T13:22:49
deepseek-v4-flash|10|full|native|d02|r2,deepseek-v4-flash,10,full,native,2,d02,direct,exposicao,list_messages,,list_messages,10,1,1,0,0,0,0,914,65,979,0.7389,0,0,0.0,,2026-08-30T13:22:50
deepseek-v4-flash|10|full|native|d02|r3,deepseek-v4-flash,10,full,native,3,d02,direct,exposicao,list_messages,,list_messages,10,1,1,0,0,0,0,914,65,979,0.7551,0,0,0.0,,2026-08-30T13:22:50
deepseek-v4-flash|10|full|native|d02|r4,deepseek-v4-flash,10,full,native,4,d02,direct,exposicao,list_messages,,list_messages,10,1,1,0,0,0,0,914,65,979,0.735,0,0,0.0,,2026-08-30T13:22:51
deepseek-v4-flash|10|full|native|d02|r5,deepseek-v4-flash,10,full,native,5,d02,direct,exposicao,list_messages,,list_messages,10,1,1,0,0,0,0,914,65,979,0.7484,0,0,0.0,,2026-08-30T13:22:52
deepseek-v4-flash|10|full|native|d03|r1,deepseek-v4-flash,10,full,native,1,d03,direct,exposicao,delete_message,,delete_message,10,1,1,0,0,0,0,868,48,916,0.5661,0,0,0.0,,2026-08-30T13:22:53
deepseek-v4-flash|10|full|native|d03|r2,deepseek-v4-flash,10,full,native,2,d03,direct,exposicao,delete_message,,delete_message,10,1,1,0,0,0,0,868,48,916,0.5859,0,0,0.0,,2026-08-30T13:22:53
deepseek-v4-flash|10|full|native|d03|r3,deepseek-v4-flash,10,full,native,3,d03,direct,exposicao,delete_message,,delete_message,10,1,1,0,0,0,0,868,48,916,0.574,0,0,0.0,,2026-08-30T13:22:54
deepseek-v4-flash|10|full|native|d03|r4,deepseek-v4-flash,10,full,native,4,d03,direct,exposicao,delete_message,,delete_message,10,1,1,0,0,0,0,868,48,916,0.5482,0,0,0.0,,2026-08-30T13:22:54
deepseek-v4-flash|10|full|native|d03|r5,deepseek-v4-flash,10,full,native,5,d03,direct,exposicao,delete_message,,delete_message,10,1,1,0,0,0,0,868,48,916,0.5761,0,0,0.0,,2026-08-30T13:22:55
deepseek-v4-flash|10|full|native|d04|r1,deepseek-v4-flash,10,full,native,1,d04,direct,exposicao,edit_message,,edit_message,10,1,1,0,0,0,0,920,68,988,0.7948,0,0,0.0,,2026-08-30T13:22:55
deepseek-v4-flash|10|full|native|d04|r2,deepseek-v4-flash,10,full,native,2,d04,direct,exposicao,edit_message,,edit_message,10,1,1,0,0,0,0,920,81,1001,0.915,0,0,0.0,,2026-08-30T13:22:56
deepseek-v4-flash|10|full|native|d04|r3,deepseek-v4-flash,10,full,native,3,d04,direct,exposicao,edit_message,,edit_message,10,1,1,0,0,0,0,920,68,988,0.7717,0,0,0.0,,2026-08-30T13:22:57
deepseek-v4-flash|10|full|native|d04|r4,deepseek-v4-flash,10,full,native,4,d04,direct,exposicao,edit_message,,edit_message,10,1,1,0,0,0,0,920,81,1001,0.9127,0,0,0.0,,2026-08-30T13:22:58
deepseek-v4-flash|10|full|native|d04|r5,deepseek-v4-flash,10,full,native,5,d04,direct,exposicao,edit_message,,edit_message,10,1,1,0,0,0,0,920,68,988,0.7632,0,0,0.0,,2026-08-30T13:22:59
deepseek-v4-flash|10|full|native|d05|r1,deepseek-v4-flash,10,full,native,1,d05,direct,exposicao,search_messages,,search_messages,10,1,1,0,0,0,0,944,66,1010,0.7583,0,0,0.0,,2026-08-30T13:23:00
deepseek-v4-flash|10|full|native|d05|r2,deepseek-v4-flash,10,full,native,2,d05,direct,exposicao,search_messages,,search_messages,10,1,1,0,0,0,0,944,66,1010,0.7631,0,0,0.0,,2026-08-30T13:23:00
deepseek-v4-flash|10|full|native|d05|r3,deepseek-v4-flash,10,full,native,3,d05,direct,exposicao,search_messages,,search_messages,10,1,1,0,0,0,0,944,81,1025,0.916,0,0,0.0,,2026-08-30T13:23:01
deepseek-v4-flash|10|full|native|d05|r4,deepseek-v4-flash,10,full,native,4,d05,direct,exposicao,search_messages,,search_messages,10,1,1,0,0,0,0,944,66,1010,0.7673,0,0,0.0,,2026-08-30T13:23:02
deepseek-v4-flash|10|full|native|d05|r5,deepseek-v4-flash,10,full,native,5,d05,direct,exposicao,search_messages,,search_messages,10,1,1,0,0,0,0,944,66,1010,0.7429,0,0,0.0,,2026-08-30T13:23:03
deepseek-v4-flash|10|full|native|d06|r1,deepseek-v4-flash,10,full,native,1,d06,direct,exposicao,pin_message,,pin_message,10,1,1,0,0,0,0,897,47,944,0.5717,0,0,0.0,,2026-08-30T13:23:04
deepseek-v4-flash|10|full|native|d06|r2,deepseek-v4-flash,10,full,native,2,d06,direct,exposicao,pin_message,,pin_message,10,1,1,0,0,0,0,897,47,944,0.5578,0,0,0.0,,2026-08-30T13:23:04
deepseek-v4-flash|10|full|native|d06|r3,deepseek-v4-flash,10,full,native,3,d06,direct,exposicao,pin_message,,pin_message,10,1,1,0,0,0,0,897,47,944,0.5614,0,0,0.0,,2026-08-30T13:23:05
deepseek-v4-flash|10|full|native|d06|r4,deepseek-v4-flash,10,full,native,4,d06,direct,exposicao,pin_message,,pin_message,10,1,1,0,0,0,0,897,47,944,0.5518,0,0,0.0,,2026-08-30T13:23:05
deepseek-v4-flash|10|full|native|d06|r5,deepseek-v4-flash,10,full,native,5,d06,direct,exposicao,pin_message,,pin_message,10,1,1,0,0,0,0,897,47,944,0.5469,0,0,0.0,,2026-08-30T13:23:06
deepseek-v4-flash|10|full|native|d07|r1,deepseek-v4-flash,10,full,native,1,d07,direct,exposicao,get_user,,get_user,10,1,1,0,0,0,0,876,81,957,0.8943,0,0,0.0,,2026-08-30T13:23:06
deepseek-v4-flash|10|full|native|d07|r2,deepseek-v4-flash,10,full,native,2,d07,direct,exposicao,get_user,,get_user,10,1,1,0,0,0,0,876,47,923,0.5513,0,0,0.0,,2026-08-30T13:23:07
deepseek-v4-flash|10|full|native|d07|r3,deepseek-v4-flash,10,full,native,3,d07,direct,exposicao,get_user,,get_user,10,1,1,0,0,0,0,876,61,937,0.6891,0,0,0.0,,2026-08-30T13:23:08
deepseek-v4-flash|10|full|native|d07|r4,deepseek-v4-flash,10,full,native,4,d07,direct,exposicao,get_user,,get_user,10,1,1,0,0,0,0,876,61,937,0.7102,0,0,0.0,,2026-08-30T13:23:08
deepseek-v4-flash|10|full|native|d07|r5,deepseek-v4-flash,10,full,native,5,d07,direct,exposicao,get_user,,get_user,10,1,1,0,0,0,0,876,61,937,0.7038,0,0,0.0,,2026-08-30T13:23:09
deepseek-v4-flash|10|full|native|d08|r1,deepseek-v4-flash,10,full,native,1,d08,direct,exposicao,search_users,,search_users,10,1,1,0,0,0,0,941,51,992,0.6033,0,0,0.0,,2026-08-30T13:23:10
deepseek-v4-flash|10|full|native|d08|r2,deepseek-v4-flash,10,full,native,2,d08,direct,exposicao,search_users,,search_users,10,1,1,0,0,0,0,941,51,992,0.5862,0,0,0.0,,2026-08-30T13:23:10
deepseek-v4-flash|10|full|native|d08|r3,deepseek-v4-flash,10,full,native,3,d08,direct,exposicao,search_users,,search_users,10,1,1,0,0,0,0,941,51,992,0.5989,0,0,0.0,,2026-08-30T13:23:11
deepseek-v4-flash|10|full|native|d08|r4,deepseek-v4-flash,10,full,native,4,d08,direct,exposicao,search_users,,search_users,10,1,1,0,0,0,0,941,51,992,0.5885,0,0,0.0,,2026-08-30T13:23:12
deepseek-v4-flash|10|full|native|d08|r5,deepseek-v4-flash,10,full,native,5,d08,direct,exposicao,search_users,,search_users,10,1,1,0,0,0,0,941,51,992,0.6169,0,0,0.0,,2026-08-30T13:23:12
deepseek-v4-flash|10|full|native|d09|r1,deepseek-v4-flash,10,full,native,1,d09,direct,exposicao,deactivate_user,,deactivate_user,10,1,1,0,0,0,0,889,48,937,0.5741,0,0,0.0,,2026-08-30T13:23:13
deepseek-v4-flash|10|full|native|d09|r2,deepseek-v4-flash,10,full,native,2,d09,direct,exposicao,deactivate_user,,deactivate_user,10,1,1,0,0,0,0,889,48,937,0.58,0,0,0.0,,2026-08-30T13:23:13
deepseek-v4-flash|10|full|native|d09|r3,deepseek-v4-flash,10,full,native,3,d09,direct,exposicao,deactivate_user,,deactivate_user,10,1,1,0,0,0,0,889,48,937,0.5833,0,0,0.0,,2026-08-30T13:23:14
deepseek-v4-flash|10|full|native|d09|r4,deepseek-v4-flash,10,full,native,4,d09,direct,exposicao,deactivate_user,,deactivate_user,10,1,1,0,0,0,0,889,48,937,0.5744,0,0,0.0,,2026-08-30T13:23:15
deepseek-v4-flash|10|full|native|d09|r5,deepseek-v4-flash,10,full,native,5,d09,direct,exposicao,deactivate_user,,deactivate_user,10,1,1,0,0,0,0,889,48,937,0.5567,0,0,0.0,,2026-08-30T13:23:15
deepseek-v4-flash|10|full|native|d10|r1,deepseek-v4-flash,10,full,native,1,d10,direct,exposicao,invite_user,,invite_user,10,1,1,0,0,0,0,882,52,934,0.6244,0,0,0.0,,2026-08-30T13:23:16
deepseek-v4-flash|10|full|native|d10|r2,deepseek-v4-flash,10,full,native,2,d10,direct,exposicao,invite_user,,invite_user,10,1,1,0,0,0,0,882,52,934,0.5964,0,0,0.0,,2026-08-30T13:23:16
deepseek-v4-flash|10|full|native|d10|r3,deepseek-v4-flash,10,full,native,3,d10,direct,exposicao,invite_user,,invite_user,10,1,1,0,0,0,0,882,52,934,0.5991,0,0,0.0,,2026-08-30T13:23:17
deepseek-v4-flash|10|full|native|d10|r4,deepseek-v4-flash,10,full,native,4,d10,direct,exposicao,invite_user,,invite_user,10,1,1,0,0,0,0,882,52,934,0.611,0,0,0.0,,2026-08-30T13:23:18
deepseek-v4-flash|10|full|native|d10|r5,deepseek-v4-flash,10,full,native,5,d10,direct,exposicao,invite_user,,invite_user,10,1,1,0,0,0,0,882,52,934,0.6175,0,0,0.0,,2026-08-30T13:23:18
deepseek-v4-flash|10|full|native|d11|r1,deepseek-v4-flash,10,full,native,1,d11,direct,exposicao,create_group,,create_group,10,1,1,0,0,0,0,948,85,1033,0.9377,0,0,0.0,,2026-08-30T13:23:19
